uuid,level,name,std1
04-57a2ff9c13fb19daef8692efdd2a4bb8,4,thread_is_sliceable,60
04-57bd56db0c153345bb7851fa8ec4e843,4,k_sys_work_q_init,52
04-5ae9b7f211e23aac3df5f2b8f3b8eada,4,crypto,650
04-5da24c4410665e3bcb0a8583a7ca900d,4,z_impl_k_event_set,8
04-5f13ef4e7e3f47bd42542b2b30fec14d,4,k_work_schedule,12
04-60bdd8e1def75a6126160ca91a7abc3c,4,signal_poll_event,140
04-63101b2f7a03ab7420fc5d51f641bfb3,4,z_impl_k_thread_create,88
04-6336d99903574ff6e38d01c445f5fc9e,4,clock_control_nrf.c,1082
04-6380411d2e805939d6781aeec5f506db,4,nrf_grtc_timer.c,372
04-64d17e0dfb10ff309137d61ff71ed0a8,4,z_impl_k_msgq_put,188
04-64f192a0566d688490ca2358f914df5c,4,k_work_submit_to_queue,32
04-67b3dba8bc6778101892eb77249db32e,4,host,37565
04-6a7703c3bb443faa5e96e8c476255b02,4,spi_nrfx_spim.c,1964
04-6a7d70b7bf397a10718bd5ae6abd5fc7,4,z_unpend_all,38
04-6aa59f708739b27553f922e63b5e0464,4,z_impl_k_mutex_unlock,160
04-6aec4dbce730a30ea5692b85f76dfcad,4,dec.c,82
04-6bf7ea269389380b6b884f862f892305,4,z_add_timeout,236
04-6cffad6f2c1952a01df63ea81714a716,4,z_thread_abort,272
04-6d3aea915badbee49fb51f528bb61b81,4,statics_init,36
04-6deffb91794272d41a2797360a32e94f,4,k_mem_slab_alloc,92
04-7268c581722914fb7dd55d09faa5bf31,4,z_device_state_init,2
04-72e4bfa312718f1f635d5da6ab8b5ea4,4,z_reschedule,36
04-77d3a8e289557f19bfd471e216a9e7f8,4,z_impl_k_event_wait,6
04-7a0219b20326bf975d45865a58f07891,4,work_flush_locked,120
04-7a38fb47566cf2ca4f34f1a11e1168a3,4,buf_simple.c,156
04-7c28515c8286af2064722ff81648bfba,4,z_impl_k_msgq_get,200
04-7d6a57b5a3369e15e7f6024b8cf49ef0,4,nrf_security,21053
04-7fb3bfcc19a04190f885893455a5a4db,4,adjust_owner_prio.isra.0,16
04-80ec9d2356fee490e4c4f49d9cdbb9ed,4,z_impl_k_sleep,56
04-8293a531034f04bb649d5516533f05ff,4,gnuarmemb,118
04-86bb0045d4e2b5b813307eb63c5895a1,4,common.c,38
04-896b2f7bf23b7a77153a133ee9fdb20e,4,k_queue_append,22
04-897b5d7800fc1153fb7b840970ac2a1b,4,z_early_memcpy,4
04-8add4bce86d8b5523c22eec9f0782e5d,4,work_timeout,60
04-8b04d5e3775d298e78455efc5ca404d5,4,first,16
04-8b33b3085de14abb7b828c0a11289d27,4,cache_nrf.c,16
04-8be7b118e15175f96ea62b9da8273913,4,z_init_cpu,104
04-8c76b2fed1f05f0cd846803f367634f1,4,k_heap_free,56
04-8cd17e4344e034c01e80db176a687701,4,boot_banner,12
04-8dddc67f573c670f74b004af07a6b36f,4,z_sched_wake_thread,70
04-92025a6bbc24069585f43dbc7ac78baa,4,soc_flash_nrf_rram.c,476
04-9267bd037d875ef211fb16a4204770ec,4,z_handle_obj_poll_events,52
04-931a317b286fba972feeca829bcc2b03,4,k_work_init_delayable,24
04-94b6fdce5e81d485f3779e661d0b38f2,4,z_impl_k_queue_init,24
04-985eb597e11e971ab6081d6674738244,4,thread_entry.c,52
04-98821efad354e31de5ef7dc079d08505,4,net_buf.h,120
04-9abfc3fa0a586782b875ee02ad45dcd8,4,bluetooth,7636
04-9b558dbcc4b90f2624a77e3425f6d87c,4,z_impl_k_timer_start,116
04-9c95d5efeea0f5a9f67101b9b17a0cc2,4,z_impl_k_sched_current_thread_query,12
04-9e4394e629873016e2465dcc356cef81,4,k_work_cancel_delayable,38
04-9efab2399c7c560b34de477b9aa0a465,4,common,36
04-a02cb06756919a917d06e642378f40f4,4,z_unpend1_no_timeout,44
04-a14cc5570ce4afc59b4bc574007f671e,4,k_work_flush,54
04-a2fb98e3293fbd5684c2440c91734b96,4,z_impl_k_yield,136
04-a48b642872cfcda1a753a5d05a8d8e88,4,adc_nrfx_saadc.c,1394
04-a6b0de291a07477abb81daa3fe622bda,4,hex.c,160
04-a6d730adfc1a4620344399fb143041bf,4,bg_thread_main,196
04-a73a9b8e5d8d3fa731beb737a75d1c58,4,spi_nor.c,1664
04-a74ad8dfacd4f985eb3977517615ce25,4,core,2508
04-a94562fb46c3ca23d4dd8798cc3464cf,4,nordic,9501
04-abc2b80840943becd055891e7d123a2c,4,do_device_init,48
04-ac74bdb2d77961f0261239e71eaa3cb6,4,k_is_in_isr,12
04-ae01e6a3586f4b3ad2185eb02b675ab4,4,z_unpend_thread_no_timeout,34
04-ae6d527cef12244ecc22eedabb46e54a,4,z_thread_aligned_alloc,64
04-af240a253ed586b7a9e4abf469b1f3a2,4,elapsed,20
04-b0fa6050d82d3ce30cbc35e6682be97c,4,random_xoshiro128.c,32
04-b1cf8ca1be7d10dc0e7a92b2de1670de,4,k_event_post_internal,92
04-b29b8c05c1d9da2c610285b070abfee8,4,k_queue_prepend,20
04-b456f2346b6752957e18fd81c69e56b1,4,dk_buttons_and_leds,1036
04-b5a1a1f926839d8313106333a21cf5f3,4,heap.c,1230
04-b78deca5d0c7de857e03b3859eedee65,4,z_impl_k_mutex_init,14
04-bb917573b6928b5df87e5de2dbb0836d,4,z_thread_prio_set,156
04-be708f8caeed5f8d20371a677ad40e4e,4,k_work_init,18
04-bf282e8150c337e3ec8da31f565eb5bf,4,z_impl_k_sem_reset,108
04-c05167c4b132c75fa4061eea8c7eb588,4,z_data_copy,56
04-c080fcf6e11939bbb363c7389b1458da,4,add_to_waitq_locked,80
04-c198580c6c6d8b18401ce2b7f959e85f,4,ready_thread,144
04-c2799f3c2ba4d061b95c0d3a23dea721,4,zms,3442
04-c2c9e90af2329859c9fbd09b9a16ad3a,4,z_impl_k_thread_name_set,6
04-c2cc1ba22cce9837cfa978ab1dc96539,4,__init_init_mem_slab_obj_core_list,8
04-c42e29522bffcf7003627aacab5c98ef,4,nrf54l,224
04-c61e3bfc3861b50ad6bf5e04e7ab523f,4,notify.c,90
04-c8bb10d51dcd10a5d095650c07ffa5d6,4,slice_timeout,32
04-c932c3e220864b785ebd66f9cd257896,4,z_impl_k_mutex_lock,240
04-c98fd9e1d8da839ab1f2d707a3811027,4,z_impl_k_event_init,10
04-ca0ab8dd379da44e2d48ef730747425e,4,ws-turkana,62172
04-cb467d3a1f1c09ca333ee7a21389b217,4,k_work_queue_init,12
04-d09c2848399f97a8145c2de6e12d35b1,4,_irq_vector_table,1084
04-d218ed5cce7979734bea407395fff480,4,k_work_reschedule_for_queue,92
