uuid,level,name,std1,stdz1,stdz1(%),sci,sci(%)
03-261ec5b4f78e6414af1f2102e74f4980,3,mutex.c,416,,,,
03-2b3583e6e17721c54496bd04e57a0c15,3,utils,1000,1126,12.6,1126,12.6
03-2c127bf32ccb4edf2bf22fea5a00e494,3,timer,336,372,10.71,372,10.71
03-2eb9a102efc2c5e76b739c50b558b39a,3,xip.c,56,56,0.0,56,0.0
03-37a184204b9448f00fb83003d8a6cc69,3,entropy,54,124,129.63,124,129.63
03-3fedd55aa249fcb8886ab4476d5a5df4,3,events.c,302,,,,
03-4d4a9aa362b6ffe089fd2e992ccf4f5f,3,heap,1370,918,-32.99,918,-32.99
03-4fb69dc1bf667cfbc2b05dc5fd51e674,3,thread.c,238,254,6.72,254,6.72
03-5ae9b7f211e23aac3df5f2b8f3b8eada,3,crypto,758,,,,
03-6406e0607655451a77bcf0a54c3d637c,3,pinctrl,387,427,10.34,427,10.34
03-6c90e8978ae0cba686caef23f41ebb71,3,mem_mgmt,12,12,0.0,12,0.0
03-6ce5bb4dbd940b828fa496317a1b0878,3,banner.c,,12,,12,0
03-74136b24217cb75599440e6e1d807cf7,3,serial,1086,1074,-1.1,1074,-1.1
03-779f8a3a8c60f325a2171a2653d27f6e,3,zephyr,144,198,37.5,198,37.5
03-7abb446738b4dfa1b0d7734371b8946e,3,net_buf,514,546,6.23,546,6.23
03-7bca95052a036e1dc82f07529fd2b44d,3,idle.c,22,22,0.0,22,0.0
03-7dfd0916e87aaa90a45bf1ec3391e970,3,subsys,11602,,,,
03-820f20aaff1a08fa09ed2471da8e8e10,3,sem.c,180,352,95.56,352,95.56
03-955871c9778abe2297251e689899dcdc,3,gpio,1104,1104,0.0,1104,0.0
03-9abfc3fa0a586782b875ee02ad45dcd8,3,bluetooth,899,79093,8697.89,83976,9241.05
03-a5618994268beaa9fba3b5fc78562a8b,3,queue.c,382,518,35.6,518,35.6
03-a7f3eb49d6fb4ccbbe593eb48c2bd096,3,device.c,24,24,0.0,24,0.0
03-a94562fb46c3ca23d4dd8798cc3464cf,3,nordic,224,216,-3.57,216,-3.57
03-bc957e26ff41470c556ee5d09e96880b,3,misc,2,2,0.0,2,0.0
03-bda16fa0e64e7aad8ddd86b71b0c308c,3,system_work_q.c,60,60,0.0,60,0.0
03-c4de0655302956f48d32155b4d80f44d,3,busy_wait.c,8,8,0.0,8,0.0
03-c80a73b78d3d460ce9f1d222a87714b0,3,poll.c,272,894,228.68,894,228.68
03-cde9e8dec3ca8de88aa6cf61c1c0252c,3,hal,4481,5873,31.06,5873,31.06
03-d436eb0fd9de10b54a828ce6435f7e81,3,include,32,32,0.0,32,0.0
03-da1fe2b4f26525ab43e1476ed51c23d8,3,sched.c,1982,1804,-8.98,1804,-8.98
03-dbdec1f2df92b57fa3cef80445426a24,3,fatal.c,70,70,0.0,70,0.0
03-dd302f94682dbd2a114d63b0433602e0,3,os,172,172,0.0,172,0.0
03-e5823ba08cf6f8acc6662017ec572078,3,libc,44,44,0.0,44,0.0
03-e8acc63b1e238f3255c900eed37254b8,3,lib,76,,,,
03-f3474cdd6a817f1ae88af8b1ea224b15,3,mempool.c,78,78,0.0,78,0.0
03-f843a7390a4012d214747466b1f97def,3,timeslicing.c,268,268,0.0,268,0.0
03-f926b3e222d7afee57071b2256839701,3,arm,2508,2424,-3.35,2424,-3.35
03-fe69fd0a878b10d190c924b2398bad9c,3,drivers,76,,,,
03-ff154c0ad97c0dfa9c535e0c3c3f381f,3,init_static.c,2,2,0.0,2,0.0
