uuid,level,name,std1,app1,app1(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt2,opt2(%)
02-1cfa03daa1f29ee5406b4966b64c5758,2,arch_irq_unlock_outlined,,,,,,,,,,14,
02-1d10c24eef7c2ece8f95aa2e82e2ac2d,2,__isr_table_entry__isr_wrapper_irq_106,,,,,,,,,,4,
02-1d7e49ab52e51a7e1e19b8c0953de19f,2,atomic_set_bit.lto_priv.6,,,,,,,,,,18,
02-1db82766e978e54a8ad93d308d7a6801,2,spi_nor_write,,,,,,,,,,208,
02-1dc1a77ff1e603ed1433c5fb75225a8d,2,k_work_reschedule,,,,,,,,,,12,
02-1dc29b58647256561f4f00d7a5ab0e7f,2,mpu_config,8,8,0.0,8,0.0,8,0.0,8,0.0,,
02-1de2f0e7f84472c209531d7fb98f7367,2,sdc_hci_cmd_lc_disconnect,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-1de6ed55fdfe4c9ac8915f003dc29e29,2,static_regions,,,,,,,,,,12,
02-1def0aca15202401af31de1d7b382f9f,2,att_read_rsp,,,,,,,,,,148,
02-1e2e1b8a41f72a20caa0d37afe4d3f2a,2,le_phy_update_complete,,,,,,,,,,188,
02-1e44654bd1950f7f5d6082f278eb4cba,2,__isr_table_entry__isr_wrapper_irq_344,,,,,,,,,,4,
02-1eb2bc1166d1d74ba9bb1028ca8e6b3e,2,ops.0.lto_priv.1,,,,,,,,,,40,
02-1ecd1f898ddef5c0af689be553f7f0c2,2,z_ready_thread,,,,,,,,,,88,
02-1eeb597ae5b2378ac64687f6ac033dea,2,chrc_pool,,,,,,,,,,8,
02-1f13f584b1e7b93b2ad0546f27dc782a,2,bt_att_sent,,,,,,,,,,92,
02-1f1728ffb2701e5a3831c236c9b03315,2,__isr_table_entry__isr_wrapper_irq_308,,,,,,,,,,4,
02-1f28c642af8abbb8e8f379b2890961ec,2,__isr_table_entry_z_irq_spurious_irq_541,,,,,,,,,,8,
02-1f7985c1fb0c083c45668c029e89a33d,2,gpio_nrfx_port_set_bits_raw.lto_priv.0,,,,,,,,,,10,
02-1f8bfa068eb8a0bef7239c1b07065262,2,__isr_table_entry_z_irq_spurious_irq_646,,,,,,,,,,8,
02-1fa111860f535069ce04ce5e4a878f1e,2,get_io_capa,,,,,,,,,,76,
02-1fc2aab63db59c54b92b75840541e55d,2,__isr_table_entry__isr_wrapper_irq_486,,,,,,,,,,4,
02-1fc8e9a90fe7a701d642585746fcce21,2,__isr_table_entry__isr_wrapper_irq_298,,,,,,,,,,4,
02-1fd2bc9373a5051c13b6a464812d220f,2,sdc_hci_cmd_le_clear_resolving_list,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-1ff64e350967be97a6a7739f3b5bba5d,2,gatt_store_ccc_cf,,,,,,,,,,100,
